c1,s1,e1,c2,se,e2
1,486,76975,15,100263879,100338121
1,342608,393885,15,100218755,100268630
1,576306,626811,15,100218755,100268630
1,24100130,24102271,14,104785984,104788467
1,118120680,118122875,1,24160006,24162502
1,27016320,27018417,10,101587560,101590098
1,27016320,27018417,14,104648505,104650303
1,33289171,33291682,10,101587208,101590227
1,33289171,33291683,14,104648152,104650432
1,44341361,44342950,11,118978579,118980148
1,46478469,46481197,10,101587232,101590161
1,46478469,46481213,14,104648161,104650366
1,113793805,113795241,1,54212890,54214400
1,116200963,116201988,1,54775032,54776107
1,54775032,54776072,11,110163915,110164934
1,57522272,57523526,14,106341339,106342596
1,58286119,58287633,11,110163648,110164991
1,116200776,116202022,1,58286169,58287611
1,62448123,62450558,13,101466957,101469139
1,107411230,107412529,1,74836157,74837456
1,116200777,116201828,1,80689085,80690143
1,113793804,113795264,1,81664689,81666266
1,81959885,81962196,10,104965375,104967914
1,81959993,81962861,12,104933834,104936317
1,81959998,81961850,11,111642839,111644270
1,85719845,85721665,10,103912103,103913618
1,86789593,86791619,14,104547323,104549317
1,92311817,92313133,12,106189301,106190587
1,100060498,100063123,5,122979305,122980357
1,100568589,100570622,5,133319107,133323611
1,101110516,101112498,2,176415864,176417841
1,102024397,102025433,2,62226947,62227978
1,102024400,102025443,6,28807694,28808740
1,102024400,102025433,12,67232962,67233998
1,102024400,102025440,3,111883743,111884767
1,102024400,102025425,3,32207182,32208203
1,102024401,102025443,19,23801725,23802770
1,102024401,102025440,14,76170792,76171833
1,102024401,102025440,1,158502674,158503717
1,102024401,102025433,14,94262309,94263344
1,102024401,102025425,14,102910044,102911067
1,102024401,102025425,1,235049499,235050522
1,102024401,102025404,9,90129149,90130154
1,102024402,102025445,13,20433370,20434415
1,102024402,102025433,8,81633591,81634625
1,102024402,102025425,6,112783639,112784673
1,102024402,102025425,1,152617218,152618248
1,102024402,102025434,4,144565585,144566596
1,102024404,102025433,X,99297461,99298497
1,102024405,102025432,X,86844924,86845954
1,102024405,102025433,13,66738883,66739906
1,102024405,102025425,X,132724428,132725451
1,102024405,102025425,15,50965023,50966037
1,102024407,102025433,X,44485208,44486227
1,102024409,102025433,4,81301238,81302260
1,102024414,102025433,9,78203366,78204388
1,102024414,102025432,16,72531971,72532992
1,102024426,102025440,3,198197890,198198902
1,102118341,102119426,18,22088317,22089396
1,102118344,102120211,12,31324785,31326651
1,102118344,102120215,18,55832852,55834712
1,102118377,102120205,8,23545602,23547743
1,102119018,102120213,15,70138577,70139794
1,102694673,102696754,15,65404741,65406824
1,103098347,103100751,4,168771987,168774133
1,103557854,103636494,1,103697587,103776226
1,103898366,103904299,1,103953605,103960257
1,103898366,103904299,1,104048508,104054427
1,103898366,103904299,1,104079973,104085890
1,103898366,103899790,1,104012734,104014168
1,103914894,103923756,1,104085892,104102914
1,103914894,103923756,1,104031483,104048506
1,103914966,103923757,1,103960802,103970003
1,103914966,103923756,1,103999671,104008776
1,103917629,103923757,1,104057644,104064128
1,103936234,103960778,1,104064132,104086411
1,103936234,103960778,1,103970007,103992273
1,103936234,103955225,1,104012548,104031478
1,103936234,103953584,1,104102919,104118990
1,103950302,103960778,1,104047987,104057622
1,103958705,103987459,1,104012548,104050063
1,103961132,103972579,1,104000001,104012021
