seqname,source,feature,start,end,score,strand,frame,CCDS,basic,ccds_id,cds_end_NF,cds_start_NF,exon_id,exon_number,exon_version,gene_biotype,gene_id,gene_name,gene_source,gene_version,mRNA_end_NF,mRNA_start_NF,protein_id,protein_version,seleno,transcript_biotype,transcript_id,transcript_name,transcript_source,transcript_support_level,transcript_version
1,havana,gene,11869,14409,.,+,.,,,,,,,,,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,,,,,,
1,havana,transcript,11869,14409,.,+,.,,1.0,,,,,,,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,processed_transcript,ENST00000456328,DDX11L1-202,havana,1,2
1,havana,exon,11869,12227,.,+,.,,1.0,,,,ENSE00002234944,1,1,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,processed_transcript,ENST00000456328,DDX11L1-202,havana,1,2
1,havana,exon,12613,12721,.,+,.,,1.0,,,,ENSE00003582793,2,1,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,processed_transcript,ENST00000456328,DDX11L1-202,havana,1,2
1,havana,exon,13221,14409,.,+,.,,1.0,,,,ENSE00002312635,3,1,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,processed_transcript,ENST00000456328,DDX11L1-202,havana,1,2
1,havana,transcript,12010,13670,.,+,.,,1.0,,,,,,,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,12010,12057,.,+,.,,1.0,,,,ENSE00001948541,1,1,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,12179,12227,.,+,.,,1.0,,,,ENSE00001671638,2,2,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,12613,12697,.,+,.,,1.0,,,,ENSE00001758273,3,2,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,12975,13052,.,+,.,,1.0,,,,ENSE00001799933,4,2,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,13221,13374,.,+,.,,1.0,,,,ENSE00001746346,5,2,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
1,havana,exon,13453,13670,.,+,.,,1.0,,,,ENSE00001863096,6,1,transcribed_unprocessed_pseudogene,ENSG00000223972,DDX11L1,havana,5,,,,,,transcribed_unprocessed_pseudogene,ENST00000450305,DDX11L1-201,havana,NA,2
