Study ID,Variant ID,Variant Region type,Variant Call type,Sampleset ID,Method,Analysis ID,Validation,Variant Samples,Subject Phenotype,Clinical Interpretation,Assembly Name,Chromosome Accession,Chromosome,Outer Start,Start,Inner Start,Inner End,End,Outer End,Placement Type,Remap Score
"nstd167","nsv3943649","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","136934","","","136934","","Submitted genomic",""
"nstd167","nsv3930345","copy number variation","","","","","No","","","","GRCh37 (hg19)","GL000192.1","1|GL000192.1","","186283","","","186701","","Submitted genomic",""
"nstd167","nsv3939322","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","533253","","","533253","","Submitted genomic",""
"nstd167","nsv3925750","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","545927","","","545927","","Submitted genomic",""
"nstd167","nsv3944634","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","605031","","","605031","","Submitted genomic",""
"nstd167","nsv3939301","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","662750","","","662750","","Submitted genomic",""
"nstd167","nsv3952179","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","664891","","","664923","","Submitted genomic",""
"nstd167","nsv3943951","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","724861","","","724861","","Submitted genomic",""
"nstd167","nsv3928680","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","756259","","","756259","","Submitted genomic",""
"nstd167","nsv3939566","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","757807","","","757842","","Submitted genomic",""
"nstd167","nsv3934767","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","774837","","","774879","","Submitted genomic",""
"nstd167","nsv3950182","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","788888","","","788937","","Submitted genomic",""
"nstd167","nsv3932041","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","801995","","","801995","","Submitted genomic",""
"nstd167","nsv3926959","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","802231","","","802231","","Submitted genomic",""
"nstd167","nsv3946753","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","811404","","","811404","","Submitted genomic",""
"nstd167","nsv3932316","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","818024","","","818111","","Submitted genomic",""
"nstd167","nsv3941032","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","821604","","","821604","","Submitted genomic",""
"nstd167","nsv3946576","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","829169","","","829205","","Submitted genomic",""
"nstd167","nsv3928355","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","843215","","","843215","","Submitted genomic",""
"nstd167","nsv3946266","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","844549","","","844860","","Submitted genomic",""
"nstd167","nsv3935439","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","869444","","","870284","","Submitted genomic",""
"nstd167","nsv3928038","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","871644","","","871683","","Submitted genomic",""
"nstd167","nsv3943537","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","884091","","","884091","","Submitted genomic",""
"nstd167","nsv3935350","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","900004","","","900078","","Submitted genomic",""
"nstd167","nsv3932030","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","912095","","","912095","","Submitted genomic",""
"nstd167","nsv3929387","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","913225","","","913225","","Submitted genomic",""
"nstd167","nsv3926603","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","924199","","","924199","","Submitted genomic",""
"nstd167","nsv3952242","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","931729","","","931729","","Submitted genomic",""
"nstd167","nsv3947669","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","934144","","","934144","","Submitted genomic",""
"nstd167","nsv3925715","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","964766","","","964766","","Submitted genomic",""
"nstd167","nsv3939906","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","966269","","","966307","","Submitted genomic",""
"nstd167","nsv3928182","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","977156","","","977203","","Submitted genomic",""
"nstd167","nsv3929571","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1004204","","","1004204","","Submitted genomic",""
"nstd167","nsv3946444","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1014061","","","1014061","","Submitted genomic",""
"nstd167","nsv3933130","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1016296","","","1016296","","Submitted genomic",""
"nstd167","nsv3941513","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1044265","","","1044265","","Submitted genomic",""
"nstd167","nsv3946565","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1075047","","","1075657","","Submitted genomic",""
"nstd167","nsv3952356","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1075535","","","1075535","","Submitted genomic",""
"nstd167","nsv3952871","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1076743","","","1076743","","Submitted genomic",""
"nstd167","nsv3925043","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1092675","","","1092714","","Submitted genomic",""
"nstd167","nsv3935495","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1103389","","","1103424","","Submitted genomic",""
"nstd167","nsv3932539","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1137360","","","1137360","","Submitted genomic",""
"nstd167","nsv3945337","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1176028","","","1176028","","Submitted genomic",""
"nstd167","nsv3945230","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1180538","","","1180538","","Submitted genomic",""
"nstd167","nsv3930375","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1184417","","","1184417","","Submitted genomic",""
"nstd167","nsv3933471","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1219551","","","1219551","","Submitted genomic",""
"nstd167","nsv3943130","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1223680","","","1223753","","Submitted genomic",""
"nstd167","nsv3936508","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1259560","","","1259560","","Submitted genomic",""
"nstd167","nsv3939066","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1275264","","","1275264","","Submitted genomic",""
"nstd167","nsv3951672","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1285500","","","1286580","","Submitted genomic",""
"nstd167","nsv3936878","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1318010","","","1318010","","Submitted genomic",""
"nstd167","nsv3934116","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1378235","","","1378235","","Submitted genomic",""
"nstd167","nsv3928007","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1413234","","","1413234","","Submitted genomic",""
"nstd167","nsv3938507","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1479105","","","1479105","","Submitted genomic",""
"nstd167","nsv3925890","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1501063","","","1501063","","Submitted genomic",""
"nstd167","nsv3934927","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1540923","","","1540983","","Submitted genomic",""
"nstd167","nsv3934712","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1584541","","","1584541","","Submitted genomic",""
"nstd167","nsv3942824","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1598413","","","1598580","","Submitted genomic",""
"nstd167","nsv3939787","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1649043","","","1649094","","Submitted genomic",""
"nstd167","nsv3953253","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1681044","","","1681044","","Submitted genomic",""
"nstd167","nsv3931408","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1855662","","","1855662","","Submitted genomic",""
"nstd167","nsv3944975","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1860823","","","1860823","","Submitted genomic",""
"nstd167","nsv3933511","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1865751","","","1865751","","Submitted genomic",""
"nstd167","nsv3951745","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1869280","","","1869311","","Submitted genomic",""
"nstd167","nsv3937843","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1880381","","","1880381","","Submitted genomic",""
"nstd167","nsv3953572","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1886519","","","1886519","","Submitted genomic",""
"nstd167","nsv3926580","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1913259","","","1913259","","Submitted genomic",""
"nstd167","nsv3926260","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1925143","","","1925143","","Submitted genomic",""
"nstd167","nsv3945747","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","1950659","","","1950659","","Submitted genomic",""
"nstd167","nsv3927014","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2017166","","","2017166","","Submitted genomic",""
"nstd167","nsv3936943","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2037984","","","2038158","","Submitted genomic",""
"nstd167","nsv3950289","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2041460","","","2041555","","Submitted genomic",""
"nstd167","nsv3950817","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2053547","","","2053547","","Submitted genomic",""
"nstd167","nsv3935213","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2055045","","","2055045","","Submitted genomic",""
"nstd167","nsv3937200","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2055238","","","2055238","","Submitted genomic",""
"nstd167","nsv3949323","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2073491","","","2073575","","Submitted genomic",""
"nstd167","nsv3929580","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2073761","","","2073846","","Submitted genomic",""
"nstd167","nsv3954656","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2079159","","","2079159","","Submitted genomic",""
"nstd167","nsv3952009","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2143340","","","2143340","","Submitted genomic",""
"nstd167","nsv3937180","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2193484","","","2193554","","Submitted genomic",""
"nstd167","nsv3934403","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2220983","","","2220983","","Submitted genomic",""
"nstd167","nsv3940660","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2241116","","","2241154","","Submitted genomic",""
"nstd167","nsv3951744","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2256560","","","2256560","","Submitted genomic",""
"nstd167","nsv3951351","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2263422","","","2263422","","Submitted genomic",""
"nstd167","nsv3926192","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2324473","","","2324473","","Submitted genomic",""
"nstd167","nsv3945452","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2332780","","","2332780","","Submitted genomic",""
"nstd167","nsv3925842","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2371951","","","2371951","","Submitted genomic",""
"nstd167","nsv3929787","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2390865","","","2390928","","Submitted genomic",""
"nstd167","nsv3940522","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2391058","","","2391089","","Submitted genomic",""
"nstd167","nsv3945971","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2432218","","","2432258","","Submitted genomic",""
"nstd167","nsv3941105","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2454230","","","2454230","","Submitted genomic",""
"nstd167","nsv3926695","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2523817","","","2524047","","Submitted genomic",""
"nstd167","nsv3948654","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2533603","","","2533603","","Submitted genomic",""
"nstd167","nsv3929171","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2566489","","","2566489","","Submitted genomic",""
"nstd167","nsv3931988","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2583558","","","2583558","","Submitted genomic",""
"nstd167","nsv3937082","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2585304","","","2585344","","Submitted genomic",""
"nstd167","nsv3935073","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2588011","","","2588011","","Submitted genomic",""
"nstd167","nsv3925350","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2589640","","","2589640","","Submitted genomic",""
"nstd167","nsv3943207","insertion","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2594466","","","2594466","","Submitted genomic",""
"nstd167","nsv3931981","copy number variation","","","","","No","","","","GRCh37 (hg19)","NC_000001.10","1","","2596751","","","2597313","","Submitted genomic",""
