n1 n2 p1 p2 chr
link_131bundle dm2l 1492314 1496979 chr1
link_131bundle hs1 204484082 204498727 chr1
link_487bundle dm2l 5536845 5563502 chr1
link_487bundle hs1 37039201 38045938 chr1
link_1919bundle dm2l 19527275 19567359 chr1
link_1919bundle hs1 109838244 109844585 chr1
link_1461bundle dm2l 13835567 13898715 chr10
link_1461bundle hs10 50894683 51440265 chr10
link_132bundle dm2l 1492314 1496979 chr11
link_132bundle hs11 60727560 60775505 chr11
link_251bundle dm2l 2767281 2998614 chr11
link_251bundle hs11 6189141 6590021 chr11
link_481bundle dm2l 5525905 6006791 chr11
link_481bundle hs11 130745912 133787552 chr11
link_810bundle dm2l 8008442 8010635 chr11
link_810bundle hs11 58232809 58481092 chr11
link_832bundle dm2l 8029464 8528618 chr11
link_832bundle hs11 65096396 65528192 chr11
link_909bundle dm2l 8495108 8496304 chr11
link_909bundle hs11 60727560 60775505 chr11
link_1221bundle dm2l 10819123 10821968 chr11
link_1221bundle hs11 60727560 60775505 chr11
link_1246bundle dm2l 10982205 11284337 chr11
link_1246bundle hs11 93790123 93994234 chr11
link_185bundle dm2l 2203904 2410668 chr12
link_185bundle hs12 99274988 100128120 chr12
link_757bundle dm2l 7693800 7710697 chr12
link_757bundle hs12 8866417 9620128 chr12
link_1544bundle dm2l 15647835 16245459 chr12
link_1544bundle hs12 1771384 2677376 chr12
link_1554bundle dm2l 15888639 15893811 chr12
link_1554bundle hs12 8866417 9620128 chr12
link_1925bundle dm2l 19549793 19556455 chr12
link_1925bundle hs12 8866417 9620128 chr12
link_825bundle dm2l 8011407 8026901 chr15
link_825bundle hs15 41276720 41381745 chr15
link_1183bundle dm2l 10463336 10756316 chr15
link_1183bundle hs15 38648829 38908227 chr15
link_1022bundle dm2l 9771155 9775030 chr16
link_1022bundle hs16 23101541 23300121 chr16
link_1044bundle dm2l 9896263 9922752 chr16
link_1044bundle hs16 1952063 2241604 chr16
link_1684bundle dm2l 16843192 16861419 chr16
link_1684bundle hs16 82713389 82736265 chr16
link_1741bundle dm2l 18161429 18455332 chr16
link_1741bundle hs16 66438331 66590857 chr16
link_1994bundle dm2l 20447734 20459082 chr16
link_1994bundle hs16 66531288 66852460 chr16
link_209bundle dm2l 2359546 2974862 chr17
link_209bundle hs17 37530524 38318912 chr17
link_239bundle dm2l 2739986 3068184 chr17
link_239bundle hs17 77261425 77649395 chr17
link_478bundle dm2l 5520258 6127762 chr17
link_478bundle hs17 6484946 8114528 chr17
link_1050bundle dm2l 9903386 10507918 chr17
link_1050bundle hs17 70520371 70778898 chr17
link_1454bundle dm2l 13831480 13955757 chr17
link_1454bundle hs17 58908166 59923631 chr17
link_1783bundle dm2l 18683720 19453507 chr17
link_1783bundle hs17 35390586 35827934 chr17
link_854bundle dm2l 8163298 8189610 chr18
link_854bundle hs18 10660864 10861413 chr18
link_214bundle dm2l 2370156 2410668 chr19
link_214bundle hs19 54128751 54636596 chr19
link_756bundle dm2l 7693800 8205128 chr19
link_756bundle hs19 16864765 17865897 chr19
link_929bundle dm2l 8765359 8781251 chr19
link_929bundle hs19 12618322 12638828 chr19
link_1062bundle dm2l 9956148 10517216 chr19
link_1062bundle hs19 17442300 19173678 chr19
link_1929bundle dm2l 19549793 20073725 chr19
link_1929bundle hs19 5736155 6671662 chr19
link_524bundle dm2l 5949484 6354331 chr2
link_524bundle hs2 219809572 220189417 chr2
link_1020bundle dm2l 9771155 10310736 chr2
link_1020bundle hs2 219232623 220111730 chr2
link_1389bundle dm2l 13079005 13385674 chr2
link_1389bundle hs2 178123740 179024110 chr2
link_1635bundle dm2l 16794236 16801585 chr2
link_1635bundle hs2 234191093 234346688 chr2
link_1730bundle dm2l 18078266 18987276 chr2
link_1730bundle hs2 233206182 234346688 chr2
link_68bundle dm2l 559611 854539 chr22
link_68bundle hs22 41226540 41889191 chr22
link_311bundle dm2l 3030545 3373047 chr3
link_311bundle hs3 115040447 115258150 chr3
link_1382bundle dm2l 12974322 13004142 chr3
link_1382bundle hs3 114948598 115013591 chr3
link_1545bundle dm2l 15647835 16245459 chr3
link_1545bundle hs3 53504116 55083622 chr3
link_1715bundle dm2l 17520889 17532234 chr3
link_1715bundle hs3 120904559 120968637 chr3
link_1920bundle dm2l 19527275 19567359 chr3
link_1920bundle hs3 50363301 50366477 chr3
link_2074bundle dm2l 21417078 21537368 chr3
link_2074bundle hs3 130744747 130752894 chr3
link_365bundle dm2l 3619191 3621591 chr4
link_365bundle hs4 69085500 70548007 chr4
link_585bundle dm2l 6225050 6226842 chr4
link_585bundle hs4 69085500 70548007 chr4
link_930bundle dm2l 8765359 8781251 chr4
link_930bundle hs4 6627803 6762505 chr4
link_1174bundle dm2l 10452710 10462475 chr4
link_1174bundle hs4 6627803 6762505 chr4
link_1295bundle dm2l 11840712 11843778 chr4
link_1295bundle hs4 57370785 57382654 chr4
link_1633bundle dm2l 16794236 16801585 chr4
link_1633bundle hs4 69085500 70548007 chr4
link_1624bundle dm2l 16794236 16801585 chr4
link_1624bundle hs4 115739414 115817463 chr4
link_1766bundle dm2l 18511623 18829064 chr4
link_1766bundle hs4 69085500 70548007 chr4
link_1757bundle dm2l 18511623 18829064 chr4
link_1757bundle hs4 115739414 115817463 chr4
link_1982bundle dm2l 20372473 20373967 chr4
link_1982bundle hs4 69085500 70548007 chr4
link_899bundle dm2l 8384467 8388803 chr5
link_899bundle hs5 150636516 150852132 chr5
link_1632bundle dm2l 16794236 16801585 chr5
link_1632bundle hs5 35988967 36102741 chr5
link_1765bundle dm2l 18511623 18829064 chr5
link_1765bundle hs5 35988967 36102741 chr5
link_1993bundle dm2l 20429027 20461729 chr5
link_1993bundle hs5 137551259 137576931 chr5
link_135bundle dm2l 1492314 1496979 chr6
link_135bundle hs6 41799640 41823099 chr6
link_764bundle dm2l 7693800 7710697 chr6
link_764bundle hs6 32057780 32111173 chr6
link_843bundle dm2l 8071809 8496304 chr6
link_843bundle hs6 41799640 41996855 chr6
link_1451bundle dm2l 13827932 14361443 chr7
link_1451bundle hs7 98761446 151450178 chr7
link_1697bundle dm2l 17409696 17410368 chr7
link_1697bundle hs7 101900555 102099418 chr7
link_2306bundle dm2r 3136668 3855529 chr1
link_2306bundle hs1 66990730 67926607 chr1
link_2535bundle dm2r 4597268 4605026 chr1
link_2535bundle hs1 151536962 151587940 chr1
link_2783bundle dm2r 6306223 6315418 chr1
link_2783bundle hs1 171713109 171724569 chr1
link_2845bundle dm2r 7167231 7195070 chr1
link_2845bundle hs1 153545331 154535604 chr1
link_3148bundle dm2r 9834047 9845594 chr1
link_3148bundle hs1 36046415 36294649 chr1
link_3196bundle dm2r 10052560 10057737 chr1
link_3196bundle hs1 15935396 15940471 chr1
link_3482bundle dm2r 12538597 13013887 chr1
link_3482bundle hs1 103898845 104102834 chr1
link_3513bundle dm2r 12704096 12892604 chr1
link_3513bundle hs1 26987073 28050770 chr1
link_3680bundle dm2r 13680387 13685650 chr1
link_3680bundle hs1 190394215 191048026 chr1
link_3772bundle dm2r 14740927 14749576 chr1
link_3772bundle hs1 224064459 224099884 chr1
link_4102bundle dm2r 18077326 18359160 chr1
link_4102bundle hs1 31814700 32282059 chr1
link_4103bundle dm2r 18091199 18098247 chr1
link_4103bundle hs1 21708445 21777492 chr1
link_4234bundle dm2r 19246281 19620706 chr1
link_4234bundle hs1 28435198 28481586 chr1
link_4392bundle dm2r 19962536 19965231 chr1
link_4392bundle hs1 199719281 199745207 chr1
link_2281bundle dm2r 2645106 2646391 chr10
link_2281bundle hs10 4903865 5320442 chr10
link_3612bundle dm2r 13429409 13431863 chr10
link_3612bundle hs10 97657655 97783497 chr10
link_2329bundle dm2r 3354379 4298730 chr11
link_2329bundle hs11 66979394 67552183 chr11
link_2380bundle dm2r 3597379 3604296 chr11
link_2380bundle hs11 75106536 75190227 chr11
link_2915bundle dm2r 7752700 7753888 chr11
link_2915bundle hs11 104262627 104515035 chr11
link_3122bundle dm2r 9446050 9447610 chr11
