chromosome	start	end	cn	cn1	cn2
1	12080	35779	1	1	0
1	36279	646687	0	0	0
1	647187	753078	0	0	0
1	753578	865885	1	1	0
1	866331	880279	0	0	0
1	880312	889552	0	0	0
1	890052	1008087	0	0	0
1	1008587	1111249	1	1	0
1	1111329	1154087	0	0	0
1	1154092	1164370	2	2	0
1	1164870	1234137	1	1	0
1	1234545	1246503	1	1	0
1	1246736	1274016	0	0	0
1	1274621	1357172	1	1	0
1	1357672	1390947	1	1	0
1	1391088	1417645	2	2	0
1	1417775	1577357	1	1	0
1	1577626	1632008	2	2	0
1	1632012	1684503	0	0	0
1	1684983	2114173	1	1	0
1	2114673	2197791	0	0	0
1	2197791	2237659	1	1	0
1	2237919	2286083	3	3	0
1	2286583	2335174	2	2	0
1	2336183	2451464	1	1	0
1	2451695	2526402	2	2	0
1	2526651	2537836	2	2	0
1	2538407	3342291	2	2	0
1	3342646	3354319	2	2	0
1	3354321	3389801	2	2	0
1	3389984	3407584	1	1	0
1	3409056	3418554	0	0	0
1	3419054	3425816	1		
1	3426439	3550062	1	1	0
1	3551459	3598332	0	0	0
1	3598832	3650160	2	2	0
1	3650160	3659833	2	2	0
1	3660333	3739899	1	1	0
1	3739992	3743427	2	2	0
1	3743927	3754153	5	5	0
1	3755562	3761917	1	1	0
1	3762417	3788472	1	1	0
1	3788972	4085587	3	3	0
1	4085587	4355047	2	2	0
1	4355047	4752980	3	3	0
1	4752980	5046736	2	2	0
1	5046736	5715799	3	3	0
1	5716920	6101954	1	1	0
1	6102454	6156994	3	3	0
1	6157338	6162324	1	1	0
1	6162335	6183544	0	0	0
1	6184044	6190547	2	2	0
1	6191587	6209147	1	1	0
1	6209278	6257290	2	2	0
1	6257790	6282183	1	1	0
1	6282508	6475794	2	2	0
1	6476107	6499826	3	2	1
1	6500326	6506008	2	2	0
1	6506508	6525294	0	0	0
1	6525446	6529718	1	1	0
1	6530290	6536111	3	3	0
1	6537527	6583763	1	1	0
1	6583767	6604415	3	3	0
1	6604915	6630253	1	1	0
1	6630753	6691768	1	1	0
1	6692268	6700193	1	1	0
1	6700693	6738545	3	3	0
1	6740892	6879726	1	1	0
1	6880226	7721230	3	3	0
1	7721730	7807241	1	1	0
1	7807741	7845632	3	3	0
1	7846735	7854176	3		
1	7854676	7864078	2	2	0
1	7864578	7880806	0	0	0
1	7881306	7979385	0	0	0
1	7979885	8025570	2	2	0
1	8026070	8045508	3	3	0
1	8046008	8105060	2	2	0
1	8105060	8286607	0	0	0
1	8286607	8922952	1	1	0
1	8922957	9006017	3	3	0
1	9006517	9187777	1	1	0
1	9189736	9307153	1	1	0
1	9307653	9505282	1	1	0
1	9505282	9642858	0	0	0
1	9643358	9658653	3	3	0
1	9659153	9670882	2	2	0
1	9671007	9789191	1	1	0
1	9789195	9808878	3	3	0
1	9809378	9953277	2	2	0
1	9953777	10000605	3		
1	10001105	10042537	1	1	0
1	10042708	10177645	0	0	0
1	10179382	10186977	3		
1	10189397	10290277	2	2	0
1	10290777	10318729	1	1	0
1	10319229	10331633	1	1	0
1	10332288	10350535	0	0	0
1	10351035	10362675	0	0	0
1	10363175	10439731	1	1	0
1	10439731	10459766	0	0	0
1	10460541	10502853	1	1	0
1	10503353	10516054	3	3	0
1	10516554	10522688	2	2	0
1	10522689	10617429	0	0	0
1	10617429	11083408	2	2	0
1	11084061	11105752	0	0	0
1	11106509	11115146	2	2	0
1	11115780	11137743	3	3	0
1	11138243	11254754	1	1	0
1	11254842	11291697	3	3	0
1	11292445	11314107	2	2	0
1	11314607	11538732	0	0	0
1	11539939	11733784	2	2	0
1	11733787	11782868	1	1	0
1	11783184	11840012	1	1	0
1	11840512	11848644	2	2	0
1	11848669	11876161	2	2	0
1	11876504	11894093	3	3	0
1	11894179	12004006	1	1	0
1	12004506	12018194	2	2	0
1	12018593	12024341	5	3	2
1	12024626	12035608	3	3	0
1	12036108	12067347	1	1	0
1	12067847	12089253	1	1	0
1	12089257	12262170	2	2	0
1	12262670	12317215	0	0	0
1	12318019	12389982	2	2	0
1	12390482	12470080	0	0	0
1	12470580	12822965	1	1	0
1	12823423	12977070	0	0	0
1	12977570	13109425	0	0	0
1	13109925	13329471	0	0	0
1	13330329	13353981	4	4	0
1	13354481	13387500	2	2	0
1	13388475	13447611	1	1	0
1	13448111	13526864	1	1	0
1	13527364	13695618	2	2	0
1	13695684	14075316	0	0	0
1	14075816	14099099	4		
1	14099599	14150175	2	2	0
1	14150180	14688969	1	1	0
1	14688969	15034183	3	3	0
1	15034183	15342420	2	1	1
1	15342420	15427340	3	3	0
1	15427840	15635414	1	1	0
1	15635914	15735833	3	3	0
1	15737286	15783225	2	2	0
1	15783503	15820519	3	3	0
1	15821774	15886250	1	1	0
1	15886750	15901485	3	3	0
1	15901486	15983197	1	1	0
1	15983697	16043342	3	3	0
1	16044394	16090455	1	1	0
1	16090955	16110437	0	0	0
1	16110937	16173805	1	1	0
1	16174520	16255630	0	0	0
1	16255631	16258605	3		
1	16258610	16270412	3	3	0
1	16270415	16274992	2	2	0
1	16275492	16344680	0	0	0
1	16344682	16560229	1	1	0
1	16560729	16719184	0	0	0
1	16719684	16778543	2	2	0
1	16779043	16892329	1	1	0
1	16892418	16914366	2	2	0
1	16915317	16971481	0	0	0
1	16971981	16974626	3	3	0
1	16974973	17197719	3	3	0
1	17198242	17257991	2	2	0
1	17258491	17272784	1	1	0
1	17272895	17396759	2	2	0
1	17397897	17431363	2	2	0
1	17431368	17552879	2	2	0
1	17553379	17596267	3	3	0
1	17596767	17634956	2	2	0
1	17634971	17665698	2	2	0
1	17666198	17690213	2	2	0
1	17690216	17714181	3	2	1
1	17714681	17735777	2	2	0
1	17736299	17755605	3	3	0
1	17755610	17928101	1	1	0
1	17928601	18020703	3	3	0
1	18021203	18152717	2	1	1
1	18152720	18702889	3	3	0
1	18703313	18884856	2	2	0
1	18884856	19017776	3	2	1
1	19018276	19129577	1	1	0
1	19129577	19421686	3	3	0
1	19422023	19432336	2	2	0
1	19432843	19454820	3	3	0
1	19455432	19473647	2	2	0
1	19474271	19488386	3	3	0
1	19488963	19503375	2	2	0
1	19503909	19550095	2	2	0
1	19550595	19570241	2	2	0
1	19570428	19585169	2	2	0
1	19585227	19652118	1	1	0
1	19652761	19665519	3	2	1
1	19665524	19704447	3	2	1
1	19704947	19745570	3		
1	19746070	19793216	3	2	1
1	19793216	19923628	0	0	0
1	19924128	19934838	5		
1	19934906	19981948	3	3	0
1	19983175	20021164	2	2	0
1	20021664	20107360	3	3	0
1	20107860	20191886	2	2	0
1	20191886	20662137	3	2	1
1	20662637	20674084	1		
1	20674584	20828724	3	3	0
1	20829599	20878450	0	0	0
1	20880462	20940432	1	1	0
1	20940932	20970412	1	1	0
1	20970912	20979486	2	2	0
1	20980030	21052593	2	2	0
1	21053425	21073508	1	1	0
1	21074008	21081927	5		
1	21083567	21093393	2	1	1
1	21093893	21133899	0	0	0
1	21133900	21268410	0	0	0
1	21268415	21323487	2	2	0
1	21323987	21415047	0	0	0
1	21415547	21546632	2	2	0
1	21548117	21599612	3	3	0
1	21600112	21624650	1		
1	21625150	21799449	0	0	0
1	21799913	21809157	1	1	0
1	21809672	21903223	3	3	0
1	21903838	21927629	2	2	0
1	21928129	22015930	2	2	0
1	22016430	22030926	3	3	0
1	22032176	22049889	0	0	0
1	22050389	22063170	0	0	0
1	22063670	22124412	0	0	0
1	22124412	22148824	1	1	0
1	22148849	22160518	1	1	0
1	22161224	22208142	2	2	0
1	22208642	22222595	3	3	0
1	22222603	22333914	1	1	0
1	22334414	22359091	1	1	0
1	22359091	22413442	1	1	0
1	22413942	22456391	3	3	0
1	22456891	22837800	1	1	0
1	22838116	22857665	3	2	1
1	22858165	22919327	1	1	0
1	22919827	22969605	3	2	1
1	22970105	22986181	2	1	1
1	22987181	23239378	3	3	0
1	23239672	23370233	1	1	0
1	23370733	23403913	0	0	0
1	23405515	23413856	3	3	0
1	23413861	23494770	2	2	0
1	23495270	23520655	3	3	0
1	23520690	23693714	0	0	0
1	23694292	23765441	1	1	0
1	23765624	23848575	3	3	0
1	23849075	24017692	2	2	0
1	24018192	24086654	1	1	0
1	24086656	24119127	1	1	0
1	24119227	24146477	3	3	0
1	24146977	24174677	1	0	1
1	24175177	24199558	1	1	0
1	24199562	24363351	1	1	0
1	24363351	24426319	3	2	1
1	24426819	24450114	1	1	0
1	24450136	24676633	3	3	0
1	24677133	24689952	4	3	1
1	24690452	24705215	3	2	1
1	24705715	24717461	3	2	1
1	24717961	24746279	0	0	0
1	24746779	24767977	3	3	0
1	24768477	24779403	2	2	0
1	24779903	24790692	4	4	0
1	24790717	24828855	3	3	0
1	24830148	24979660	2	2	0
1	24980772	24986671	2		
1	24987171	24996661	5	5	0
1	24996730	25017219	4		
1	25017219	25097785	1		
1	25098285	25169202	0	0	0
1	25169207	25227486	2	2	0
1	25227529	25386627	3	2	1
1	25386627	25458643	2	2	0
1	25458643	25549284	0	0	0
1	25549285	25559119	0	0	0
1	25559619	25571798	1	1	0
1	25572866	25573984	1		
1	25574484	25598543	4		
1	25599043	25611223	8	8	0
1	25611723	25634199	7	7	0
1	25634201	25654904	5		
1	25655404	25677565	1		
1	25678065	25717406	2	2	0
1	25718568	25772749	0	0	0
1	25773249	25783387	2		
1	25784830	25980179	3	3	0
1	25980679	26079390	4	3	1
1	26079890	26135692	3	3	0
1	26136145	26146590	1	1	0
1	26146612	26231703	0	0	0
1	26233269	26286772	2	2	0
1	26286776	26311142	3	3	0
1	26311642	26370958	2	2	0
1	26370966	26383150	2	2	0
1	26383650	26468777	2	2	0
1	26468777	26519723	3	3	0
1	26520223	26604445	1	1	0
1	26604446	26624654	3	3	0
1	26625154	26694436	1	1	0
1	26694953	26769469	2	2	0
1	26769969	26862809	1	1	0
1	26863309	26887925	3	3	0
1	26887946	27102434	2	2	0
1	27102934	27190804	3	3	0
1	27190865	27427865	1	1	0
1	27428039	27431553	2		
1	27432053	27614516	2	2	0
1	27615016	27634737	3	3	0
1	27635237	27671816	1	1	0
1	27671818	27679247	3	3	0
1	27679747	27693370	1	1	0
1	27693870	27709211	3	3	0
1	27710386	27738645	1	1	0
1	27739145	27948182	3	3	0
1	27949418	27961108	2	2	0
1	27962307	28071355	0	0	0
1	28071855	28081073	2		
1	28081573	28144470	0	0	0
1	28144970	28303271	2	2	0
1	28303771	28473198	0	0	0
1	28473698	28477686	2		
1	28478186	28534245	3	3	0
1	28534745	28595868	1		
1	28596368	28624690	3		
1	28624690	28662468	3		
1	28662968	28786872	0	0	0
1	28787372	28825281	2	2	0
1	28826175	28861684	2	2	0
1	28861687	28894170	2		
1	28894670	29062727	1	1	0
1	29064020	29213922	1	1	0
1	29214422	29359087	1	1	0
1	29359587	29391802	1	1	0
1	29392302	29442396	0	0	0
1	29443309	29475261	1	1	0
1	29475415	29528574	3	3	0
1	29529651	29605845	2	2	0
1	29605952	29738194	3	3	0
1	29738194	30172960	3	3	0
1	30172960	30389528	3		
1	30389528	30732427	2	2	0
1	30732427	31186517	3	2	1
1	31187088	31206878	1	1	0
1	31207747	31454307	3	3	0
1	31454807	31478144	1		
1	31478644	31653273	0	0	0
1	31653275	31742504	2	2	0
1	31744154	31809469	0	0	0
1	31809969	31818967	1		
1	31819467	31837280	4		
1	31837285	31864177	4	4	0
1	31864177	31907532	3	3	0
1	31908032	32049261	1	1	0
1	32049267	32089429	3	3	0
1	32090592	32122726	2	2	0
1	32123973	32131010	2		
1	32131061	32151995	2	2	0
1	32152495	32165745	3	3	0
1	32166245	32281690	2	2	0
1	32282190	32379730	2	2	0
1	32379912	32507343	1	1	0
1	32507843	32559821	3	3	0
1	32560321	32621886	1	1	0
1	32622386	32639331	2	2	0
1	32639331	32646903	2		
1	32646904	32659756	3	3	0
1	32660279	32740700	2	2	0
1	32740885	32794952	3	3	0
1	32796066	32829734	2		
1	32829738	32843930	2	2	0
1	32844312	32859088	3		
1	32859588	32935629	0	0	0
1	32936129	32951148	2		
1	32951150	33087437	3	3	0
1	33088136	33117516	1	1	0
1	33117625	33241411	3	3	0
1	33241415	33246744	2	2	0
1	33246749	33262761	0	0	0
1	33263261	33299044	0	0	0
1	33299544	33321759	0	0	0
1	33321764	33324511	3	3	0
1	33325011	33497364	3	3	0
1	33497864	33549001	1	1	0
1	33549501	33766325	3	3	0
1	33766825	33791619	1	1	0
1	33792119	33918478	3	3	0
1	33918478	34032720	2	2	0
1	34033220	34157981	3	3	0
1	34158481	34189096	2	1	1
1	34189596	35334777	3	3	0
1	35335277	35441454	1	1	0
1	35441954	35474562	3	3	0
1	35475976	35480731	4		
1	35480740	35824015	0	0	0
1	35824515	35861600	0	0	0
1	35862100	35883542	0	0	0
1	35884042	35899664	1		
1	35899972	35928403	2		
1	35928903	36004055	3	3	0
1	36004055	36074330	3	3	0
1	36074830	36217104	2	2	0
1	36219310	36273263	0	0	0
1	36274690	36298179	2	2	0
1	36299548	36474669	3	3	0
1	36475097	36522057	2	2	0
1	36522557	36636006	3	3	0
1	36636506	36690769	5	3	2
1	36691269	36754755	2	1	1
1	36754831	36774096	2	2	0
1	36775090	36806236	3	3	0
1	36806240	36819428	3	2	1
1	36819928	37285480	3	3	0
1	37285980	37428064	4	3	1
1	37428064	37959507	3	2	1
1	37959669	37975218	4	4	0
1	37975228	38031587	3	3	0
1	38031587	38058338	4	4	0
1	38058342	38152077	3	3	0
1	38152577	38167656	1	1	0
1	38168908	38227185	3	3	0
1	38227189	38260423	1	1	0
1	38261048	38289477	3	3	0
1	38289977	38303777	2	2	0
1	38304277	38433896	3	3	0
1	38435117	38443985	1	1	0
1	38444485	38463208	0	0	0
1	38463208	38477795	3	3	0
1	38478295	38483514	3		
1	38484125	38677958	5	5	0
1	38677961	38862440	3	3	0
1	38862440	39009457	4	4	0
1	39009457	39231162	3	3	0
1	39231162	39329346	2	2	0
1	39329347	39352428	3	3	0
1	39353538	39440260	1	1	0
1	39440260	39470250	4	4	0
1	39470253	39492161	0	0	0
1	39492661	39550117	4	4	0
1	39550617	39752419	1	1	0
1	39752919	39785444	3	2	1
1	39785944	39851640	1	1	0
1	39852912	39879587	3	2	1
